postal,latitude,longitude
308091,1.318332662,103.8466029
821165,1.394998966,103.9147543
822165,1.395128032,103.9144671
150166,1.283092626,103.8176672
730166,1.433317738,103.7754916
821166,1.394448669,103.9155224
822166,1.394578126,103.915235
455270,1.313738282,103.9319796
427312,1.315254874,103.9044331
423676,1.310016806,103.903382
098516,1.251308593,103.8472312
545621,1.361398077,103.8737782
308093,1.318253057,103.8461249
559161,1.362049034,103.8690938
439305,1.302554842,103.8935684
415900,1.330011785,103.907518
457157,1.314670087,103.927952
629048,1.324712638,103.6731515
466795,1.316813607,103.9389333
118148,1.279883678,103.7867299
436565,1.305631964,103.8942397
459196,1.309328766,103.9231483
249778,1.300309659,103.819155
439080,1.299796573,103.8869212
460017,1.32014883,103.9355635
